Epoch,date,Account,Pool,Operation,Amount,Staked Balance,Rewards Ⓝ,Rate NEAR/USD,Rewards in USD,Unstaked Balance,Can Withdraw
72373889,2022-08-20 13:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,59.06,2.13,4.27,9.09,47.03,Yes
72417089,2022-08-21 05:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,61.23,2.17,4.16,9.02,47.03,Yes
72460289,2022-08-21 21:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,62.29,1.06,4.16,4.41,47.03,Yes
72503489,2022-08-22 12:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,64.51,2.22,4.24,9.41,47.03,Yes
72546689,2022-08-23 02:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,66.65,2.14,4.12,8.82,47.03,Yes
72589889,2022-08-23 17:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,68.77,2.12,4.12,8.74,47.03,Yes
72633089,2022-08-24 08:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,70.92,2.15,4.31,9.26,47.03,Yes
72676289,2022-08-24 22:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,73.05,2.13,4.31,9.17,47.03,Yes
72719489,2022-08-25 13:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,75.15,2.10,4.27,8.98,47.03,Yes
72762689,2022-08-26 04:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,77.28,2.13,4.33,9.21,47.03,Yes
72805889,2022-08-26 18:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,79.41,2.13,4.33,9.21,47.03,Yes
72849089,2022-08-27 09:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,80.90,1.49,3.94,5.87,47.03,Yes
72892289,2022-08-27 23:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,82.99,2.09,3.94,8.23,47.03,Yes
72935489,2022-08-28 14:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,85.08,2.09,3.93,8.21,47.03,Yes
72978689,2022-08-29 05:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,87.19,2.11,3.78,7.97,47.03,Yes
73021889,2022-08-29 20:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,89.30,2.11,3.78,7.97,47.03,Yes
73065089,2022-08-30 10:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,91.43,2.13,4.04,8.60,47.03,Yes
73108289,2022-08-31 02:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,93.59,2.16,4.21,9.09,47.03,Yes
73151489,2022-08-31 17:08,jakov-shardlabs.near,shardlabs.poolv1.near,,,95.77,2.18,4.21,9.17,47.03,Yes
73194689,2022-09-01 08:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,95.77,2.18,2.18,4.36,9.51,142.80,No
73237889,2022-09-01 23:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,4.36,2.18,4.36,9.51,142.80,No
73281089,2022-09-02 14:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,6.54,2.18,4.35,9.47,142.80,No
73324289,2022-09-03 05:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,8.55,2.01,4.18,8.40,142.80,No
73367489,2022-09-03 19:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,10.61,2.06,4.18,8.61,142.80,Yes
73410689,2022-09-04 10:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,12.58,1.97,4.16,8.20,142.80,Yes
73453889,2022-09-05 00:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,14.53,1.95,4.24,8.26,142.80,Yes
73497089,2022-09-05 15:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,14.53,0.00,4.24,0.00,142.80,Yes
73540289,2022-09-06 06:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,16.47,1.94,4.23,8.21,142.80,Yes
73583489,2022-09-06 21:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,18.46,1.99,4.23,8.42,142.80,Yes
73626689,2022-09-07 13:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,18.46,0.00,4.08,0.00,142.80,Yes
73669889,2022-09-08 04:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,20.58,2.12,4.38,9.28,142.80,Yes
73713089,2022-09-08 20:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,22.68,2.10,4.38,9.19,142.80,Yes
73756289,2022-09-09 11:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,24.78,2.10,4.68,9.83,142.80,Yes
73799489,2022-09-10 04:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,26.90,2.12,4.82,10.22,142.80,Yes
73842689,2022-09-10 19:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,29.10,2.20,4.82,10.61,142.80,Yes
73885889,2022-09-11 10:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,31.20,2.10,4.81,10.11,142.80,Yes
73929089,2022-09-12 01:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,33.23,2.03,4.88,9.91,142.80,Yes
73972289,2022-09-12 16:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,35.27,2.04,4.88,9.96,142.80,Yes
74015489,2022-09-13 08:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,35.27,0.00,5.06,0.00,142.80,Yes
74058689,2022-09-14 00:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,35.27,0.00,4.43,0.00,142.80,Yes
74101889,2022-09-14 16:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,35.27,0.00,4.43,0.00,142.80,Yes
74145089,2022-09-15 08:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,37.49,2.22,4.51,10.02,142.80,Yes
74188290,2022-09-16 00:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,39.45,1.96,4.18,8.19,142.80,Yes
74231490,2022-09-16 16:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,41.71,2.26,4.18,9.44,142.80,Yes
74274690,2022-09-17 08:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,43.91,2.20,4.19,9.23,142.80,Yes
74317890,2022-09-17 23:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,46.27,2.36,4.19,9.90,142.80,Yes
74361090,2022-09-18 15:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,48.42,2.15,4.38,9.42,142.80,Yes
74404290,2022-09-19 06:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,50.62,2.20,3.91,8.60,142.80,Yes
74447490,2022-09-19 22:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,52.83,2.21,3.91,8.64,142.80,Yes
74490690,2022-09-20 13:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,55.02,2.19,4.06,8.90,142.80,Yes
74533890,2022-09-21 04:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,57.16,2.14,3.81,8.16,142.80,Yes
74577090,2022-09-21 20:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,59.30,2.14,3.81,8.16,142.80,Yes
74620290,2022-09-22 11:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,61.47,2.17,3.66,7.95,142.80,Yes
74663490,2022-09-23 02:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,2.16,3.87,8.37,142.80,Yes
74706690,2022-09-23 17:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.87,0.00,142.80,Yes
74749890,2022-09-24 08:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.79,0.00,142.80,Yes
74793090,2022-09-24 23:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.79,0.00,142.80,Yes
74836290,2022-09-25 13:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.70,0.00,142.80,Yes
74879490,2022-09-26 04:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.65,0.00,142.80,Yes
74922690,2022-09-26 18:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.65,0.00,142.80,Yes
74965890,2022-09-27 09:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.67,0.00,142.80,Yes
75009090,2022-09-27 23:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.67,0.00,142.80,Yes
75052290,2022-09-28 13:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.62,0.00,142.80,Yes
75095490,2022-09-29 03:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.58,0.00,142.80,Yes
75138690,2022-09-29 19:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.58,0.00,142.80,Yes
75181890,2022-09-30 11:09,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.63,0.00,3.58,0.00,142.80,Yes
75225090,2022-10-01 02:10,jakov-shardlabs.near,shardlabs.poolv1.near,,,63.80,0.17,3.56,0.61,142.80,Yes
75268290,2022-10-01 06:10,jakov-shardlabs.near,shardlabs.poolv1.near,,,65.78,1.98,3.56,7.05,142.80,Yes
